mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	diminuendo_line	crescendo_hairpin	decrescendo_hairpin
47	47	138	138	3.0	0	0	Chord	6/8	3	1	3/4	1/2	3/2	518															
48	48	141	141	3.0	0	0	Chord	6/8	1	1	3/4	1/2	3/2	519	grun-									15					
48	48	141	141	3.0	0	0	Chord	6/8	2	1	3/4	1/2	3/2	520															
48	48	141	141	3.0	0	0	Chord	6/8	3	1	3/4	1/2	3/2	521															
49	49	144	144	0.0	0	0	Spanner	6/8	1	1	0													15					4
49	49	144	144	1.5	0	0	Chord	6/8	1	1	3/8	1/4	3/2	522										15, 16					4
49	49	291/2	291/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8	1/4	3/2	523										15					4
49	49	291/2	291/2	1.0	3/8	3/8	Chord	6/8	1	2	1/4	1/4	1	524															4
49	49	293/2	293/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8	1/8	1	525															4
49	49	144	144	3.0	0	0	Chord	6/8	2	1	3/4	1/2	3/2	526															
49	49	144	144	3.0	0	0	Chord	6/8	3	1	3/4	1/2	3/2	527															
50	50	147	147	0.0	0	0	Spanner	6/8	1	1	0																		
50	50	147	147	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	528	-de.														
50	50	147	147	1.0	0	0	Chord	6/8	1	2	1/4	1/4	1	529															
50	50	147	147	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	530															
50	50	147	147	1.0	0	0	Chord	6/8	3	1	1/4	1/4	1	531															
