mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	crescendo_hairpin	decrescendo_hairpin
38	38	148	148	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	521	Nacht									32				
38	38	297/2	297/2	1.0	1/8	1/8	Chord	4/4	1	1	1/4		1/4	1	522														
38	38	299/2	299/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	523	ver-													
38	38	150	150	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	524	-lo-													
38	38	151	151	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	525	-ren,													
38	38	148	148	0.0	0	0	Dynamic	4/4	2	1	0						mp												
38	38	148	148	0.0	0	0	Spanner	4/4	2	1	0																		
38	38	148	148	0.0	0	0	Chord	4/4	2	1	0	appoggiatura	1/8	1	526														
38	38	148	148	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	527			articAccentAbove											
38	38	150	150	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	528														
38	38	148	148	4.0	0	0	Chord	4/4	2	2	1		1	1	529														
38	38	148	148	4.0	0	0	Chord	4/4	3	1	1		1	1	530														
39	39	152	152	0.75	0	0	Chord	4/4	1	1	3/16		1/8	3/2	531	hü-													
39	39	611/4	611/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	532	-te													
39	39	153	153	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	533	dich,													
39	39	309/2	309/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	534	sei													
39	39	155	155	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	535	wach													
39	39	311/2	311/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	536	und													
39	39	152	152	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	537														
39	39	152	152	1.0	0	0	Chord	4/4	3	1	1/4		1/4	1	538														
39	39	154	154	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	539														
39	39	154	154	0.5	1/2	1/2	Chord	4/4	3	2	1/8		1/8	1	540														
40	40	156	156	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	541	mun-													
40	40	313/2	313/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	542	-ter!													
40	40	156	156	0.0	0	0	Dynamic	4/4	2	1	0						p												
40	40	157	157	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	543			articStaccatoAbove											
40	40	159	159	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	544			articStaccatoAbove											
40	40	157	157	0.5	1/4	1/4	Chord	4/4	3	2	1/8		1/8	1	545			articStaccatoBelow											
40	40	159	159	0.5	3/4	3/4	Chord	4/4	3	2	1/8		1/8	1	546			articStaccatoBelow											
41	41	160	160	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	547			articStaccatoAbove											
41	41	160	160	0.5	0	0	Chord	4/4	3	2	1/8		1/8	1	548			articStaccatoBelow											
